account_no,name,balance,account_type,active
4121405122,John doe,22000.0,Current,False
9431688308,Noel noe,120000.0,Current,True
2537440977,Obi obi,20000.0,Current,True
3327954959,Gege,30000.0,Saving,True
6838781486,Dozie dozie,10000.0,Current,True
6998326833,Noe noe,5000.0,Saving,True
2326212859,Glo glo,2000.0,Current,True
2422827378,Jack jack,2000.0,Saving,True
1225272156,Harry polly,2000.0,Saving,True
8758323949,Hay hay,2000.0,Saving,True
1180530795,Jolly jolly,2000.0,Current,True
3317507554,Ok ok,2000.0,Current,True
1213745433,Golly golly,3000.0,Current,True
6292023145,Holly molly,3000.0,Current,True
6675313556,Wolly wolly,3000.0,Current,True
9113596984,Kolly,2000.0,Current,True
6452190742,Jully jully,2000.0,Current,True
3115539831,Kudy kody,3000.0,Current,True
4197295059,Jeal jeal,2000.0,Current,True
2138960388,Foo bar,3000.0,Current,True
3983902975,Folly,20000.0,Current,True
4101588418,Wolly,4000.0,Current,True
4104194285,Royce,3000.0,Current,True
6476492503,Boo boo,2900.0,Current,True
3077889113,Max max,3000.0,Current,True
8457486431,Fool fool,3000.0,Saving,True
5800816382,Holly mass,5000.0,Current,True
9372347284,Goat,2000.0,Saving,True
